How would you describe your position / role?,What is your official title?,level_qualifier,genericized_title,How many years have you worked in tech?,How many different jobs have you had in the tech industry?,How old are you?,What is your education level?,With what gender do you most identify?,What is your annualized base salary (in USD)?,Primary language / technology stack,Is your domain cloud-based?,Is your job remote-based?,"Is your employer based in a major metropolitan area? (e.g. NYC, Boston, SF, Austin, etc)","What is the value of stock options, bonuses, and RSUs in US Dollars?"
Software Engineer,Software Engineer,,SE,7,5,35 - 44 years old,Bachelors degree,Male,82500,SQL,Yes,Remote-friendly,No,5000
Software Developer,Software Developer,,Developer,5,2,35 - 44 years old,Masters degree,Male,82500,.NET,Yes,Remote-friendly,No,4000
.Net Developer,Software Engineer,,SE,1,2,18 - 24 years old,Bachelors degree,Non-binary,70000,.NET,Yes,Remote-friendly,No,
Senior Software Engineer,Lead Software Engineer,Lead,SE,10,2,25 - 34 years old,Bachelors degree,Male,85000,.NET,Yes,No,No,0
Software Engineer,Junior Software Engineer,Junior,SE,1.5,1,18 - 24 years old,Bachelors degree,Male,67000,.NET,Sort-of,Remote-friendly,No,0
DevOps,Enterprise Architect,,Architect,24,10,45 - 54 years old,Bachelors degree,Male,125000,Java,Yes,Yes,No,0
Full stack engineer,Software Engineer,,SE,6,3,25 - 34 years old,Masters degree,Male,85000,Javascript / JS frameworks,Yes,Remote-friendly,No,
Software Developer,Software Developer,,Developer,3,2,18 - 24 years old,Bachelors degree,Male,50000,.NET,No,No,No,
Web developer,Software Engineer,,SE,3,2,25 - 34 years old,Masters degree,Female,75000,.NET,Yes,Remote-friendly,No,
QA tester,Sr Quality Engineer ,Senior,QE,4,2,35 - 44 years old,Bachelors degree,Female,68000,Selenium,No,Remote-friendly,No,0
devops,cloud architect,,Architect,15,4,35 - 44 years old,Associates degree,Non-binary,,SQL,Sort-of,Remote-friendly,No,0
Software Engineer,Software Engineer,,SE,15,5,35 - 44 years old,High school diploma,Male,100000,,Sort-of,No,No,
Front-end Developer,Web Developer,,Developer,5,3,25 - 34 years old,Masters degree,Male,62000,Javascript / JS frameworks,No,Remote-friendly,No,
Systems Administrator,Systems Administrator,,SysAdmin,15,4,35 - 44 years old,High school diploma,Male,85000,,Sort-of,Remote-friendly,No,0
Data Scientist,Data Scientist,,Data Scientist,3,2,25 - 34 years old,Masters degree,Male,140000,Python,No,Yes,Yes,800000
Software Developer,Senior application development analyst,Senior,Analyst,3,2,18 - 24 years old,Some MS coursework,Male,65000,Javascript / JS frameworks,No,No,No,0
Web Developer,Web Developer,,Developer,20,4,35 - 44 years old,Bachelors degree,Male,80184,PHP,Yes,Yes,No,0
Vice President,,,,17,10,25 - 34 years old,Bachelors degree,Male,150000,Javascript / JS frameworks,Yes,Remote-friendly,No,3000
Software Engineer,Principal Software Engineer,Principal,SE,8,3,25 - 34 years old,Masters degree,Male,137000,Ruby,Yes,Yes,Yes,13000
Data Scientist,Data Scientist,,Data Scientist,20,6,35 - 44 years old,High school diploma,Male,130000,Python,Sort-of,Yes,Yes,150000
Data Engineer,Software Engineer II - Back End,II,SE,3,3,18 - 24 years old,Bachelors degree + some graduate coursework,Male,115599,Javascript / JS frameworks,Yes,Remote-friendly,Yes,5000
Software developer,Software developer,,Developer,0.5,1,18 - 24 years old,Bachelors degree,Male,35000,.NET,No,No,No,0
Software Engineer / Consultant,Salesforce Developer - Associate,Associate,Developer,3,1,25 - 34 years old,Bachelors degree,Male,74100,Apex,Yes,Remote-friendly,Yes,0
Developer,Software Engineer,,SE,8,4,25 - 34 years old,Bachelors degree,Male,85000,.NET,Sort-of,Remote-friendly,No,10000
Software Developer,Senior Software Engineer,Senior,SE,45,9,55+,Bachelors degree,Male,125000,C / C++,No,No,No,5000
I build websites,Senior Web Developer,Senior,Developer,10,5,25 - 34 years old,High school diploma,Male,50000,PHP,No,Remote-friendly,No,0
Software Engineer,Software Engineer,,SE,11,2,25 - 34 years old,Masters degree,Male,106000,Python,Sort-of,No,No,0
Full stack developer,Software engineer,,SE,3,2,35 - 44 years old,Masters degree,Female,67000,,No,No,No,0
"Quality Analyst...Software Tester.  I test the changes somebody makes to the system and make sure it works as intended and doesn't break existing functions.  I also help to write business requirements so that the business doesn't tell us to 'Make it faster'.  We need requirements that say 'After I click the button, I want the info to appear in 2 seconds, versus 60 seconds'.",IT Quality Analyst,,QA,14,3,35 - 44 years old,Bachelors degree,Female,67000,,Sort-of,No,No,0
Ensure the Quality of our product from an end users perspective.,Quality Engineer,,QE,5,2,35 - 44 years old,Bachelors degree,Female,44500,C / C++,No,Remote-friendly,No,0
Intern,Software Development Intern,Intern,Developer,1,2,18 - 24 years old,College Senior,Male,55000,,Yes,Remote-friendly,Yes,
Engineer ,Software Engineer,,SE,3,5,18 - 24 years old,Bachelors degree,Male,120000,Java,Yes,No,Yes,0
Web Application Developer,Application Developer,,Developer,3,2,18 - 24 years old,Bachelors degree,Male,54000,.NET,Sort-of,Remote-friendly,No,2000
Data Engineer,Lead Software Engineer,Lead,SE,8,2,25 - 34 years old,Masters degree,Male,78000,.NET,Yes,No,No,
Developer,Software Engineer,,SE,2,3,25 - 34 years old,Bachelors degree,Male,70000,.NET,Yes,Remote-friendly,No,3500
Systems Administrator,Systems Administrator,,SysAdmin,4,2,25 - 34 years old,Bachelors degree,Male,40000,Powershell,No,No,No,0
Design automation framework to test enterprise web-apps,Sr. Software Quality Automation Engineer,Senior,QA,13,4,25 - 34 years old,Bachelors degree,Male,96000,Selenium (Java/.NET),Yes,Remote-friendly,Yes,
Software Developer Contract,,,Developer,15,8,35 - 44 years old,Masters degree,Male,95000,.NET,No,No,No,
Data engineer ,Software engineer ,,SE,1,3,18 - 24 years old,Bachelors degree,Male,80000,Python,No,No,No,5000
Software Engineer,Progammer Analyst ,,Analyst,7,5,25 - 34 years old,Bachelors degree,Male,109000,Javascript / JS frameworks,Sort-of,Yes,Yes,0
Engineering Lead,,,SE,5,3,25 - 34 years old,Bachelors degree,Male,125000,,Sort-of,Remote-friendly,No,15000
Fullstack .Net Developer,Web Developer,,Developer,2,2,18 - 24 years old,Bachelors degree,Male,50000,.NET,Yes,Remote-friendly,No,0
DevOps,DevOps Engineer,,DevOps,12,3,35 - 44 years old,Masters degree,Male,130000,Javascript / JS frameworks,Yes,Remote-friendly,No,10000
Software Enginner,Software Developer,,Developer,0.5,1,18 - 24 years old,Bachelors degree,Female,70000,Javascript / JS frameworks,No,No,Yes,
Junior Web Developer,Software Developer,,Developer,3,3,25 - 34 years old,Bachelors degree,Male,69000,.NET,Yes,No,No,0
software engineer,principal software engineer,Principal,SE,10,3,25 - 34 years old,Masters degree,Male,145,Ruby,Yes,Yes,Yes,14.5
